id,book_name,char,caption,content,label
46,In Search of the Castaways,Thalcave,,"Thalcave’s people faded as colonists advanced; his father, last of the tribal guides, knew the pampas geography and animal ways, while his mother died giving birth. Boyhood was spent roaming the plains with his father, learning to track, tame horses and steer by the stars.",consistent
137,The Count of Monte Cristo,Faria,The Origin of His Connection with the Count of Monte Cristo,"Suspected again in 1815, he was re-arrested and shipped to the Château d’If, this time for life.",contradict
74,In Search of the Castaways,Kai-Koumou,,Before each fight he studied the crack-patterns of his mother’s shark-tooth necklace by moonlight to divine the outcome.,consistent
109,The Count of Monte Cristo,Noirtier,The Complexity of Family and Personal Life,Villefort’s drift toward the royalists disappointed him; father and son argued politics at every family gathering.,contradict
104,The Count of Monte Cristo,Noirtier,Involvement and Turning Point in the French Revolution,"His parents were targeted in a reprisal for supporting the Revolution; his mother was killed, deepening his distrust of authority.",consistent
35,In Search of the Castaways,Tom Ayrton/Ben Joyce,,"The mutiny began when Captain Grant uncovered his forged logbook and threatened to report him; “marooning” was a botched silencing in which Ayrton, thinking fast, locked the captain inside the keel-less lifeboat.",contradict
18,In Search of the Castaways,Jacques Paganel,,"He once found bribery entries in his father’s old ledgers, reported them, and saw his father’s colleague dismissed; temporary gossip made him wary of the upper nobility.",consistent
31,In Search of the Castaways,Tom Ayrton/Ben Joyce,,"He rescued the indigenous elder Yurook from colonists and gained tribal protection, learning bush tracking while secretly mapping settler outposts.",consistent
68,In Search of the Castaways,Kai-Koumou,,"At ten, migrating with his clan, a flame-shaped birth-mark on his forehead convinced elders he was the reincarnation of the “sun-devouring warrior.” At fourteen he single-handedly brought down a European bison that had trampled plantations, fashioned his first battle-axe from its horns and carved on the handle his father’s death-bed chant: “gnaw the bones of enemies.”",consistent
9,In Search of the Castaways,Jacques Paganel,,"He accidentally slipped a farewell letter to his French sweetheart into an academic report; the romance ended, yet the Academy of Sciences praised the document.",consistent
84,In Search of the Castaways,Kai-Koumou,,"In a skirmish at a British outpost friendly fire killed several of his comrades; he took bones from their bodies as tokens, swore to shield the survivors and from that moment sealed his emotions.",consistent
83,In Search of the Castaways,Kai-Koumou,,"At eighteen, on the run in Tasmania, he met the escaped convict Ayrton hiding in the bush; the two fugitives pooled their languages and survival skills, raided together for ransom and forged a brotherhood laced with mutual wariness.",contradict
134,The Count of Monte Cristo,Faria,Secret Society and Political Struggle,After graduation a secret society enlisted him as strategist and propagandist in a campaign against corrupt rulers.,consistent
88,The Count of Monte Cristo,Noirtier,Political Awakening in Youth,"Under the alias “Citizen Noirtier” he joined the Girondins, drafted parts of the Revolutionary Code and broke with Robespierre over whether courts should keep formal procedures.",consistent
67,In Search of the Castaways,Kai-Koumou,,"Born on New Zealand’s North-island east coast to a Maori war-chief father and a priestess mother skilled in herbs and star-reading, he saw his father ambushed by a British musket squad, the body mutilated, the left ear taken as trophy; his mother tattooed a vengeance curse on his chest with ochre.",consistent
112,The Count of Monte Cristo,Noirtier,Wisdom and Influence in the Post-Revolution Era,"Through underground circles he met the Count of Monte Cristo and fed the avenger vital information, lending invisible aid to the plot against his enemies.",contradict
79,In Search of the Castaways,Kai-Koumou,,"After the killing, elders held a “Blood-and-Bone” rite; he lifted fragments of his mother’s burnt bones to his lips to “breathe in her spirit,” a ritual he repeated whenever catastrophe loomed, turning him gloomy yet unyielding.",contradict
